Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2022,Data Engineer,2.07,0,4372901,DE,DE,3,50
2022,Data Scientist,0.58,1,1467421,IN,IN,2,100
2022,Principal Data Scientist,4.55,1,12943889,DE,DE,2,100
2022,Data Engineer,0.58,1,9548340,US,US,2,100
2022,Research Scientist,4.55,1,11458008,US,US,3,50
2022,Data Scientist,4.55,1,8346045,US,US,2,100
2022,Data Engineer,4.55,1,7956950,US,US,2,100
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Analyst,2.07,1,10741883,US,US,2,100
2022,Data Analyst,2.07,1,3978475,US,US,2,100
2022,Data Scientist,4.55,1,17505290,US,US,2,100
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Scientist,2.07,1,14579360,GB,GB,2,0
2022,Data Scientist,2.07,1,7289680,GB,GB,2,0
2022,Data Scientist,4.55,1,14728314,US,US,2,100
2022,Machine Learning Engineer,4.55,1,17505290,US,US,2,100
2022,Data Scientist,2.07,1,15913900,US,US,2,100
2022,Data Scientist,2.07,1,9548340,US,US,2,100
2022,Machine Learning Engineer,4.55,1,9548340,AE,AE,1,100
2022,Machine Learning Engineer,4.55,1,5172018,AE,AE,1,100
2022,Data Engineer,8.11,1,25780518,US,US,2,100
2022,Data Engineer,8.11,1,17187012,US,US,2,100
2022,Data Engineer,4.55,1,16709595,US,US,2,100
2022,Machine Learning Engineer,4.55,1,9548340,US,US,2,100
2022,Data Scientist,4.55,1,18300985,US,US,2,100
2022,Data Scientist,0.58,0,7956950,DZ,DZ,2,50
2022,Data Scientist,2.07,3,7956950,CA,US,2,100
2022,Applied Machine Learning Scientist,0.58,2,2536278,TN,CZ,2,100
2022,Head of Data,4.55,1,15913900,MY,US,2,100
2022,Principal Data Analyst,2.07,1,5967713,CA,CA,1,100
2022,Data Scientist,2.07,1,2831879,PL,PL,3,100
2022,Machine Learning Developer,4.55,1,6269360,CA,CA,2,100
2022,Data Scientist,4.55,1,7956950,BR,US,2,100
2022,Machine Learning Scientist,2.07,1,12174134,US,US,2,50
2022,Data Engineer,0.58,1,4617816,PK,DE,2,100
2022,Data Scientist,4.55,1,13128968,US,US,2,100
2022,Research Scientist,4.55,1,7433940,FR,FR,3,50
2022,Data Scientist,0.58,1,4169124,CA,CA,3,100
2022,Machine Learning Engineer,4.55,1,4985109,NL,NL,3,100
2022,Head of Data,2.07,1,2623725,EE,EE,1,100
2022,Data Scientist,0.58,1,3182780,JP,MY,3,100
2022,Machine Learning Engineer,2.07,1,6956364,AU,AU,3,100
2022,Data Engineer,4.55,1,9150493,US,US,2,100
2022,Data Scientist,0.58,1,6898914,AU,AU,2,50
2022,Applied Machine Learning Scientist,2.07,1,5967713,BO,US,3,100
2022,Research Scientist,2.07,1,5160003,AT,AT,3,0
2022,Research Scientist,0.58,1,9548340,US,US,3,100
2022,Applied Data Scientist,2.07,1,12492412,US,US,3,100
2022,Computer Vision Software Engineer,0.58,1,11935425,AU,AU,1,100
2022,Business Data Analyst,2.07,1,5642432,CA,CA,3,50
2022,Data Engineer,0.58,1,5172018,US,US,1,100
2022,Machine Learning Engineer,4.55,1,5684763,IE,IE,1,100
2022,Data Analytics Engineer,0.58,1,1591390,PK,PK,2,0
2022,Data Scientist,2.07,1,3819336,RU,US,1,100
2022,Data Science Manager,4.55,1,12134349,US,US,2,100
2022,Data Engineer,2.07,1,5422423,FR,FR,2,100
2022,Data Scientist,2.07,1,9735010,CH,CH,3,0
2022,Applied Data Scientist,4.55,1,30236410,US,US,3,100
2022,Data Scientist,2.07,1,5517031,CA,CA,2,100
2022,Computer Vision Engineer,0.58,1,795695,PT,LU,2,100
2022,Data Analyst,2.07,1,1591390,GR,GR,1,100
2022,Data Analytics Lead,4.55,1,32225648,US,US,3,100
2022,Data Scientist,2.07,1,10741883,US,US,3,100
2022,Applied Data Scientist,4.55,1,14083802,US,US,3,100
2022,Data Scientist,2.07,1,6206421,US,US,2,100
2022,Data Analyst,4.55,1,10741883,US,US,2,100
2022,Data Analyst,4.55,1,7956950,US,US,2,100
2022,Data Analyst,4.55,1,7186717,US,US,2,100
2022,Data Analyst,2.07,1,6763408,CA,CA,2,0
2022,Data Analyst,2.07,1,5967713,CA,CA,2,0
2022,Machine Learning Engineer,4.55,1,17027873,US,US,2,100
2022,Machine Learning Engineer,4.55,1,15325086,US,US,2,100
2022,Data Architect,4.55,1,21197315,US,US,2,100
2022,Data Architect,4.55,1,16957852,US,US,2,100
2022,Data Analyst,4.55,1,8983397,US,US,2,100
2022,Data Engineer,4.55,1,12333273,US,US,2,100
2022,Data Scientist,2.07,1,11243170,US,US,2,0
2022,Data Scientist,2.07,1,8124046,US,US,2,0
2022,Data Analyst,4.55,1,9224810,US,US,2,100
2022,Data Analyst,4.55,1,6498123,US,US,2,100
2022,Data Engineer,2.07,1,16446936,US,US,2,0
2022,Data Engineer,2.07,1,7885337,US,US,2,0
2022,Data Engineer,4.55,1,10344035,US,US,2,100
2022,Data Engineer,4.55,1,9150493,US,US,2,100
2022,Data Engineer,4.55,1,8792430,US,US,2,100
2022,Data Engineer,4.55,1,10344035,US,US,2,100
2022,Data Analyst,4.55,1,7881359,US,US,2,100
2022,Data Engineer,4.55,1,12731120,US,US,2,100
2022,Data Scientist,4.55,1,16335618,US,US,3,0
2022,Data Scientist,4.55,1,11171558,US,US,3,0
2022,Data Scientist,4.55,1,14004232,US,US,2,100
2022,Data Scientist,4.55,1,11458008,US,US,2,100
2022,Data Engineer,4.55,1,15921857,US,US,2,100
2022,Data Engineer,4.55,1,12731120,US,US,2,100
2022,Data Engineer,4.55,1,11537578,US,US,2,100
2022,Data Engineer,4.55,1,5609650,US,US,2,0
2022,Data Scientist,4.55,1,16335618,US,US,2,0
2022,Data Scientist,4.55,1,11171558,US,US,2,0
2022,Analytics Engineer,4.55,1,16335618,US,US,2,0
2022,Analytics Engineer,4.55,1,14696487,US,US,2,0
2022,Data Engineer,4.55,1,13932619,US,US,2,100
2022,Data Engineer,4.55,1,11159622,US,US,2,100
2022,Data Analyst,4.55,1,9241997,US,US,2,100
2022,Data Engineer,4.55,1,4296753,US,US,2,0
2022,Data Analyst,4.55,1,13526815,US,US,2,100
2022,Data Analyst,2.07,1,5206869,GB,GB,2,0
2022,Data Analyst,4.55,1,6365560,US,US,2,100
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Scientist,4.55,1,16709595,US,US,2,100
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Analyst,4.55,1,7956950,US,US,2,100
2022,Data Analyst,4.55,1,5490296,US,US,2,100
2022,Data Scientist,4.55,1,16709595,US,US,2,100
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Scientist,4.55,1,16709595,US,US,2,100
2022,Data Analyst,4.55,1,11941393,US,US,2,100
2022,Data Engineer,4.55,1,7956950,US,US,2,100
2022,Data Engineer,4.55,1,1989238,US,US,2,100
2022,Data Analyst,4.55,1,10065542,US,US,2,100
2022,Data Analyst,4.55,1,8455055,US,US,2,100
2022,Data Engineer,4.55,1,17514043,US,US,2,100
2022,Data Engineer,4.55,1,12737486,US,US,2,100
2022,Data Analyst,4.55,1,8354798,US,US,2,100
2022,Data Analyst,4.55,1,8826247,US,US,2,100
2022,Data Analyst,2.07,1,3644840,GB,GB,2,0
2022,Data Scientist,4.55,1,11139730,US,US,2,100
2022,Data Analyst,4.55,1,7877381,US,US,2,0
2022,Data Analyst,4.55,1,4774170,US,US,2,100
2022,Data Architect,4.55,1,15322221,US,US,2,100
2022,Data Architect,4.55,1,11525960,US,US,2,100
2022,Data Scientist,4.55,1,18300985,US,US,2,100
2022,Data Scientist,4.55,1,11935425,US,US,2,100
2022,Data Analytics Manager,4.55,1,11956113,US,US,2,100
2022,Data Analytics Manager,4.55,1,8695355,US,US,2,100
2022,Data Scientist,4.55,1,16709595,US,US,2,100
2022,Data Analyst,4.55,1,13526815,US,US,2,100
2022,Data Scientist,2.07,1,12731120,US,US,2,100
2022,Data Scientist,2.07,1,10344035,US,US,2,100
2022,Data Analyst,0.58,1,5331157,CA,CA,2,0
2022,Data Analyst,0.58,1,4137614,CA,CA,2,0
2022,Data Engineer,4.55,1,12253703,US,US,2,100
2022,Data Engineer,4.55,1,10025757,US,US,2,100
2022,Data Analyst,4.55,1,10264466,US,US,2,0
2022,Data Analyst,4.55,1,11935425,US,US,2,100
2022,AI Scientist,2.07,1,15913900,IN,US,3,100
